--SOURCE: CSMN666LABS SPRING 2005
--ZIPCODE,CITY,STATE
10000-0049MADEUP         QQ
10030-0971GAINESVILLE    FL
10030-0978BROOKLYN       NY
10030-0999CULVER CITY    CA
10030-1078WYNNEWOOD      PA
10030-1104NEW YORK       NY
10030-1115CAMBRIDGE      MA
10030-1155YONKERS        NY
10030-1165POINT LOOKOUT  NY
10030-1175CHICAGO        IL
10030-1210HILLSBOROUGH   NJ
10030-1236WEST ORANGE    NJ
10030-1252SACRAMENTO     CA
10030-1253LOS ANGELES    CA
10030-1254STAR CITY      WV
10030-1262NEW YORK       NY
10030-1267DETROIT        MI
10030-1292BALTIMORE      MD
10030-1297NEW ORLEANS    LA
10030-1302BOSTON         MA
10030-1327MONMOUTH JCT   NJ
10030-1341ORLANDO        FL
10030-1344CINCINNATI     OH
10030-1349NEW YORK       NY
10030-1433LOUISVILLE     KY
10030-1460TORRANCE       CA
10030-1471MAYWOOD        IL
10030-1473MILWAUKEE      WI
10030-1486NEW YORK       NY
10030-1487MIAMISBURG     OH
10030-1505ROCHESTER      MN
10030-1528DETROIT        MI
10030-1544ANN ARBOR      MI
10030-1557SAN FRANCISCO  CA
10030-1576TEMPLE         TX
10030-1582HOUSTON        TX
10030-1597BIRMINGHAM     AL
10030-1618HOUSTON        TX
10030-1649NEWARK         NJ
10030-1651OKLAHOMA       OK
10030-1671WASHINGTON     DC
10030-1685NEWARK         DE
10030-1703INDIANAPOLIS   IN
10030-1765PHILADELPHIA   PA
10030-1856LOS ANGELES    CA
10030-1902PORTLAND       OR
10030-1968LA CRESCENTA   CA
10030-2011PHILADELPHIA   PA
10030-2019COLORADO SPRINGCO
10030-2042HUNTINGTON     WV
10030-2061COLUMBUS       OH
10030-2132COLUMBIA,      SC
10030-2174NEW ORLEANS    LA
10030-2177PITTSBURGH     PA
10030-2182REGO PARK,     NY
10030-2200NY             NY
10030-2230DETROIT        MI
10030-2253PHILADELPHIA   PA
10030-2255HEAD OF THE HARNY
10030-2280NEW YORK       NY
10030-2302NEW HYDE PARK  NY
10030-2313FAR ROCKAWAY   NY
10030-2318PORTLAND       OR
10030-2334BRENTWOOD      MO
10030-2353NEW YORK       NY
10030-2414BOSTON         MA
10030-2456LOUISVILLE     KY
10030-2478BLACKSTONE     VA
10030-2558WINSTON-SALEM  NC
10030-2582RAEFORD        NC
10030-2594BIRMINGHAM     AL
10030-2596OMAHA          NE
10030-2607WINSTON-SALEM  NC
10030-2634COLUMLBIA      MO
10030-2646HUNTINGTON BEACCA
10030-2673ITHACA         NY
10030-2711CLEVELAND HEIGHOH
10030-2755INDIANAPOLIS   IN
10030-2767VAN NUYS       CA
10030-2856ANN ARBOR      MI
10030-2896RICHMOND       VA
10030-2920MILWAUKE       WI
10030-2921SEATTLE        WA
10030-2926LEXINGTON      KY
10030-2988JACKSON        MS
10030-3043BIRMINGHAM     AL
10030-3047BIRMINGHAM     AL
10030-3089PEARLAND       TX
10030-3112HOUSTON        TX
10030-3134ST. LOUIS      MO
10030-3135HOUSTON        TX
10030-3145HOUSTON        TX
10030-3185EDMONTON       AB
10030-3186DURHAM         NC
10030-3189HOUSTON        TX
10030-3195MINNEAPOLIS    MN
10030-3213BOLTON         ON
10030-3228TORONTO        ON
10030-3238MILWAUKEE      WI
10030-3247DENVER         CO
10030-3271MADISON        WI
10030-3318CHICAGO        IL
10030-3452NEWARK         NJ
10030-3468PHILDELPHIA    PA
10030-3469ORANGE         CA
10030-3496HARTFORD       CT
10030-3530COLUMBUS       OH
10030-3548YOUNGSTOWN     OH
10030-3555FORT LAUDERDALEFL
10030-3609MANHASSET      NY
10030-3611INDIANAPOLIS   IN
10030-3639NEW YORK       NY
10030-3647BROOKLYN       NY
10030-3670CLEVELAND      OH
10030-3673WEBSTER        TX
10030-3675NEW YORK       NY
10030-3715BRONX          NY
10030-3720OCEAN          NJ
10030-3733SAVANNAH       GA
10030-3742BROOKLYN       NY
10030-3753PLANO          TX
10030-3772WILMINGTON     DE
10030-3773CLEVELAND      OH
10030-3783PHILADELPHIA   PA
10030-3810KANSAS CITY    LA
10030-3813LOUISVILLE     KY
10030-3830SOMERSET       NJ
10030-3882WASHINGTON     DC
10030-3884VIDALIA        GA
10030-3898BETHESDA       MD
10030-3904NEW BRITAIN    CT
10030-3935DETROIT        MI
10030-3940LOS ANGELES    CA
10030-3987ROCHESTER      NY
10030-4006DETROIT        MI
10030-4030SALT LAKE CITY UT
10030-4050NEW YORK       NY
10030-4072PHOENIX        AZ
10030-4117COLUMBIA       MO
10030-4121ENID           OK
10030-4145PHOENIX        AZ
10030-4166SAN ANTONIO    TX
10030-4181BUFFALO        NY
10030-4279CLEVELAND      OH
10030-4299SOUTH BEND     IN
10030-4346SAN FRANCISCO  CA
10030-4354WORCESTER      MA
10030-4378SAN DIEGO      CA
10030-4386ORANGE         CA
10030-4393RESEDA         CA
10030-4397SANTA MONICA   CA
10030-4453PRINCETON      NJ
10030-4522JOSHUA TREE    CA
10030-4551SURREY         BC
10030-4574BANGOR         ME
10030-4580NEW YORK       NY
10030-4588NEW HAVEN      CT
10030-4592CATONSVILLE    MD
10030-4617NEW YORK       NY
10030-4620PITTSBURGH     PA
10030-4647BOSTON         MA
10030-4656BRONX          NY
10030-4657NEW HAVEN      CT
10030-4689PHILADELPHIA   PA
10030-4697PORT CHESTER   NY
10030-4708MIDVALE        UT
10030-4719SYRACUSE       NY
10030-4731NEW YORK       NY
10030-4757MANHASSET      NY
10030-4768HOLMDEL        NJ
10030-4772NEW YORK       NY
10030-4868HUMMELSTOWN    PA
10030-4871RICHMOND       VA
10030-4887ROCHESTER      NY
10030-4891GLEN ALLEN     VA
10030-4913ROSELLE PARK   NJ
10030-4926LACKLAND AFB   TX
10030-4940NEW YORK       NY
10030-4956FAIRFAX        VA
10030-4967FAIRFAX        VA
10030-4999CHICAGO        IL
10030-5026CHARLOTTE      NC
10030-5033WINSTON SALEM  NC
10030-5088KEESLER AFB    MS
10030-5103BERKELEY       NM
10030-5104MIAMI          FL
10030-5107OXFORD         OH
10030-5128CHICAGO        IL
10030-5212KALAMAZOO      MI
10030-5226OAK PARK       LA
10030-5237DETROIT        MI
10030-5264OAK PARK       IL
10030-5326BRONX          NY
10030-5353BOSTON         MA
10030-5378LOUISVILLE     KY
10030-5396NASHVILLE      TN
10030-5431BIRMINGHAM     AL
10030-5450JACKSON        MS
10030-5477METAIRIE       LA
10030-5486OMAHA          NE
10030-5491SHREVEPORT     LA
10030-5509DALLAS         TX
10030-5512BALTIMORE      MD
10030-5525SAN DIEGO      CA
10030-5544METAIRIE       LA
10030-5553OKLAHOMA CITY  OK
10030-5558TEMPLE         TX
10030-5562SEATTLE        WA
10030-5580MADISON        WI
10030-5609CHARLESTON     SC
10030-5611LACKLAND AFB   TX
10030-5631BALTIMORE      MD
10030-5634HOUSTON        TX
10030-5636MINNEAPOLIS    MN
10030-5657WINTER SPRINGS FL
10030-5659CHICAGO        IL
10030-5681PHILADELPHIA   PA
10030-5687JACKSON        TN
10030-5731COCKEYSVILLE   MD
10030-5797PLAYA DEL REY  CA
10030-5818BERKELEY       CA
10030-5851CHEYENNE       WY
10030-5862REDWOOD CITY   CA
10030-5875CALABASAS      CA
10030-5881BROOKLINE      MA
10030-5916BALTIMORE      MD
10030-5929SACRAMENTO     CA
10030-5961ELMHURST       NY
10030-5985BROOKLYN       NY
10030-5995WASHINGTON     DC
10030-6015MIAMI          FL
10030-6030BALTIMORE      MD
10030-6042WINSTON-SALEM  NC
10030-6051PHOENIX        AZ
10030-6068OAKLAND        CA
10030-6082STATEN ISLAND  NY
10030-6089QUINCY         IL
10030-6154JERSEY CITY    NJ
10030-6242LEXINGTON      KY
10030-6249E. ORANGE      NJ
10030-6250SPRINGFIELD    MA
10030-6266WORCESTER      MA
10030-6291NEWARK         NJ
10030-6334PHILADELPHIA   PA
10030-6341DAYTON         OH
10030-6348HERSHEY        PA
10030-6369BALTIMORE      MD
10030-6371BANGOR         ME
10030-6379LANHAM         MD
10030-6411CLEVELAND      OH
10030-6427CLINTON        NC
10030-6454BIRMINGHAM     AL
10030-6493JACKSONVILLE   FL
10030-6516MAYWOOD        IL
10030-6527CLEVELAND      OH
10030-6583GLENVIEW       IL
10030-6596CHICAGO        IL
10030-6605NEW HAVEN      CT
10030-6626DETROIT        MI
10030-6645DETROIT        MI
10030-6649LAGRANGE       IL
10030-6653NORTH MIAMI    FL
10030-6659MILWAUKEE      WI
10030-6663MADISON        WI
10030-6683CHICAGO        IL
10030-6700PHOENIX        AZ
10030-6708MATTHEWS       NC
10030-6718HEFLIN         AL
10030-6755BATON ROUGE    LA
10030-6758JOPLIN         MO
10030-6768OMAHA          NE
10030-6777GAINESVILLE    FL
10030-6912RICHMOND HILL  ON
10030-6950COLUMBUS       OH
10030-6975RENO           NV
10030-7039NEW YORK       NY
10030-7057THOUSAND OAKS  CA
10030-7076BERKELEY       CA
10030-7094GARDEN GROVE   CA
10030-7150RIO PIEDRAS    PR
10030-7153RIO PIEDRAS    PR
10030-7158DEARBORN       MI
10030-7159DUBLIN         OH
10030-7187AUGUSTA        GA
10030-7193PORTSMITH      VA
10030-7197CINCINNATI     OH
10030-7264SAN FRANCISCO  CA
10030-7274CALGARY        AB
10030-7280CONROE         TX
10030-7295VANCOUVER      BC
10030-7305CHICAGO        IL
10030-7309NORFOLK        VA
10030-7314ARLINGTON      MA
10030-7342BALTIMORE      MD
10030-7370YORK           PA
10030-7375ST. LOUIS      MO
10030-7394HOLLISWOOD     NY
10030-7401ITHACA         NY
10030-7413NEW YORK       NY
10030-7477BRONX          NY
10030-7488BROOKLYN       NY
10030-7520BRONX          NY
10030-7526NEW YORK       NY
10030-7534NEW YORK       NC
10030-7558COLTON         CA
10030-7569NEW BRITAIN    CT
10030-7571FAIR LAWN      NJ
10030-7575EDISON         NJ
10030-7596BALTIMORE      MD
10030-7597BROOKLYN       NY
10030-7613NEW BRUNSWICK  NJ
10030-7621PITTSBURGH     PA
10030-7623LOS ANGELES    CA
10030-7631UPPER FREEHOLD NJ
10030-7634BALTIMORE      MD
10030-7646ALTOONA        PA
10030-7652PHILADELPHIA   PA
10030-7695COLUMBUS       OH
10030-7710KETTERING      OH
10030-7786GREENVILLE     NC
10030-7800MONROR         NC
10030-7861PARK RIDGE     IL
10030-7864BENSALEM       PA
10030-7921CANFIELD       OH
10030-7930PITTSBURGH     PA
10030-7971JERSEY CITY    NJ
10030-7983KENILWORTH     IL
10030-7993CHARLESTON     WV
10030-8041BOSTON         MA
10030-8048PASADENA       CA
10030-8056INDIANAPOLIS   IN
10030-8065ROCKFORD       IL
10030-8066LOS ANGELES    CA
10030-8114ELLENWOOD      GA
10030-8124JACKSONVILLE   FL
10030-8138LINCOLN PARK   MI
10030-8171CLEVELAND      OH
10030-8178ERLANGER       KY
10030-8192ROME           GA
10030-8199MEMPHIS        TN
10030-8241FORT WORTH     TX
10030-8295ALEXANDRIA     LA
10030-8324STILLWATER     OK
10030-8350CAMBRIDGE      MA
10030-8385FORT WORTH     TX
10030-8390CINCINNATI     OH
10030-8443GALVESTON      TX
10030-8467TUCSON         AZ
10030-8469KINGSTON       ON
10030-8483OMAHA          NE
10030-8499OKLAHOMA CITY  OK
10030-8504FT BENNING     SC
10030-8528BETHLEHEM      PA
10030-8599ORANGE         CA
10030-8605CLEVELAND      OH
10030-8606PHILADELPHIA   PA
10030-8614SEATTLE        WA
10030-8620OAKLAND        CA
10030-8666CITRUS HEIGHTS CA
10030-8670SOMERVILLE     NJ
10030-8682TORRANCE       CA
10030-8693UTICA          NY
10030-8698MARQUETTE      MI
10030-8726MILWAUKEE      WI
10030-8729KANSAS CITY    MO
10030-8742BRONX          NY
10030-8744BAYAMON        PR
10030-8758HOUSTON        TX
10030-8780BELMAR         NJ
10030-8784TAMPA          FL
10030-8790MILWAUKEE      WI
10030-8814WICHITA        KS
10030-8827CHICAGO        IL
10030-8863LOS ANGELES    CA
10030-8876MILWAUKEE      WI
10030-8879SAN DIEGO      CA
10030-8914VANCOUVER      BC
10030-8931NEW YORK       NY
10030-8965JOHNSON CITY   NY
10030-8982PHILADELPHIA   PA
10030-8993BAYSIDE        NY
10030-9005MORGANTOWN     WV
10030-9009NEW YORK       NY
10030-9023BOCA RATON     FL
10030-9028HOLLIS         NY
10030-9029NEW YORK       NY
10030-9063EMERSON        NJ
10030-9092CLIFFSIDE PARK NJ
10030-9124PHILADELPHIA   PA
10030-9157GALVESTON      TX
10030-9173ARLINGTON      VA
10030-9214ORLANDO        FL
10030-9220DURHAM         NC
10030-9225LENOIR         NC
10030-9255MILWAUKEE      WI
10030-9277MONTREAL       PQ
10030-9283GAINESVILLE    FL
10030-9287CLEVELAND      OH
10030-9305BOSTON         MA
10030-9335BALTIMORE      MD
10030-9336CLEVELAND      OH
10030-9378GRAND BLANC    MI
10030-9471CARBONDALE     IL
10030-9477RICHMOND       VA
10030-9500AUGUSTA        GA
10030-9522METAIRIE       LA
10030-9531LAFAYETTE      LA
10030-9544OKLAHOMA CITY  OK
10030-9554SHREVEPORT     LA
10030-9563DETROIT        MI
10030-9607WILMINGTON     OH
10030-9640BIRMINGHAM     AL
10030-9650BOSTON         MA
10030-9688ST CATHARINES  ON
10030-9761QUINCY         IL
10030-9769NEW YORK       NY
10030-9779DUNWOODY       GA
10030-9781PASCO          WA
10030-9835SAN FRANCISCO  CA
10030-9836BERKELEY       CA
10030-9851ATLANTA        GA
10030-9868ROCHESTER      NY
10030-9877BOSTON         MA
10030-9909CAROLINA       PR
10030-9924BALTIMORE      MD
10030-9942WEEHAWKEN      NJ
10030-9945HIALEAH        FL
10030-9953LOXAHATCHEE    FL
10030-9977RIVER RIDGE    LA
10030-9987BALTIMORE      MD
10030-9992ONTARIO        CA
10040-0042EDMONTON       AB
10040-0078MIAMI BEACH    FL
10040-0091AUGUSTA        ME
10040-0123PHILADELPHIA   PA
10040-0134READING        PA
10040-0146SYRACUSE       NY
10040-0155BROOKLYN       NY
10040-0183SYRACUSE       NY
10040-0189BOSTON         MA
10040-0195STATEN ISLAND  NY
10040-0224CLEVELAND      OH
10040-0247MINEOLA        NY
10040-0260FLUSHING       NY
10040-0262LACKLAND AFB   TX
10040-0291CLIFTON        NJ
10040-0321FORT GORDON    GA
10040-0357SCRANTON       PA
10040-0363ORWIGSBURG     PA
10040-0370SAYRE          PA
10040-0393PITTSBURGH     PA
10040-0414PHILADELPHIA   PA
10040-0423DUNMORE        PA
10040-0427WARWICK        RI
10040-0433PITTSBURGH     PA
10040-0463PHILADELPHIA   PA
10040-0490CHESAPEAKE     VA
10040-0496GREENVILLE     SC
10040-0504RICHMOND       VA
10040-0507NORFOLK        VA
10040-0525MORGANTOWN     WV
10040-0542HUNTINGTON     WV
10040-0544HERSHEY        PA
10040-0545ATLANTA        GA
10040-0573DURHAM         NC
10040-0617AUGUSTA        GA
10040-0650LOS ANGELES    CA
10040-0670CINCINNATI     OH
10040-0698FORT WAYNE     IN
10040-0778SAGINAW        MI
10040-0811DETROIT        MI
10040-0812ARLINGTON      VA
10040-0826DETROIT        MI
10040-0832DETROIT        MI
10040-0852BIRMINGHAM     AL
10040-0886CHAMPAIGN      IL
10040-0942BIRMINGHAM     AL
10040-0962NEW ORLEANS    LA
10040-1008BIRMINGHAM     AL
10040-1013BATON ROUGE    LA
10040-1025PHILADELPHIA   PA
10040-1033OKLAHOMA CITY  OK
10040-1036BROKEN ARROW   OK
10040-1049LOUISVILLE     KY
10040-1054HOUSTON        TX
10040-1104SAN ANTONIO    TX
10040-1117HOUSTON        TX
10040-1125HOUSTON        TX
10040-1126GALVESTON      TX
10040-1169STERLING HGTS  MI
10040-1217FORT HOOD      TX
10040-1219PHOENIX        AZ
10040-1236DALLAS         TX
10040-1251TULSA          OK
10040-1293RENO           NV
10040-1357SOUTH RIDING   VA
10040-1369CONCORD        CA
10040-1376BROOKLYN       NY
10040-1377BELLFLOWER     CA
10040-1397PORTERVILLE    CA
10040-1416INDIANAPOLIS   IN
10040-1434AURORA         CO
10040-1466GUAYNABO       PR
10040-1479HOPE MILLS     NC
10040-1486MIAMI          FL
10040-1487MIAMI          FL
10040-1499EL PASO        TX
10040-1519GUAYNABO       PR
10040-1548WASHINGTON DC  CA
10040-1560SUNNYVALE      CA
10040-1596GLADSTONE      MB
10040-1610BANGOR         ME
10040-1622MONUMENT       CO
10040-1639WESTPORT       CT
10040-1664BURBANK        IL
10040-1679BOSTON         MA
10040-1698BOWIE          MD
10040-1705BETHESDA       MD
10040-1747MURRAY HARBOUR PE
10040-1748DIEPPE         NB
10040-1776BRIDGEWATER    NJ
10040-1785BROOKLINE      MA
10040-1793ORANGE         CA
10040-1817REGO PARK      NY
10040-1819NEW YORK       NY
10040-1825ALLENTOWN      PA
10040-1832LANSING        MI
10040-1839EASTON         PA
10040-1848MOON TOWNSHIP  PA
10040-1864ST. LOUIS      MO
10040-1881FLORISSANT     MO
10040-1906HERSHEY        PA
10040-1915CHARLOTTE      NC
10040-1923GOOSE CREEK    SC
10040-1932BURLINGTON     NC
10040-1935JACKSONVILLE   FL
10040-1946VALDOSTA       GA
10040-1949SAN FRANCISCO  CA
10040-1951NEWTONVILLE    MA
10040-1994COLUMBUS       OH
10040-2030DURHAM         NC
10040-2034BOCA RATON     FL
10040-2036SANTA CLARA    CA
10040-2041MADISON        WI
10040-2055NASHVILLE      TN
10040-2067PHILADELPHIA   PA
10040-2082GLASTONBURY    CT
10040-2131ALBUQUERQUE    NM
10040-2149CUYAHOGA FALLS OH
10040-2151BIRMINGHAM     AL
